id,firstName,lastName,birthDate,mail,dtContractStart,dtContractEnd,rolePrincipal,rolePrincipal.ID,manager.ID,department.ID
46,Augustin,Bouvet,1957-02-23T00:00:00,abouvet@example.org,2016-01-04T00:00:00,,Utilisateur,4,15,12
47,Pierre,Camus,,pcamus@example.org,2023-09-25T00:00:00,,Utilisateur,4,15,7
48,Maria,García,1985-02-25T00:00:00,mgarcia@example.es,2009-08-12T00:00:00,,Administrateur UK / ES,22,57,22
49,Carmen,Fernández,1983-03-18T00:00:00,cfernandez@example.es,2015-02-23T00:00:00,,Manager,3,48,24
50,José,González,1985-02-12T00:00:00,jgonzalez@example.es,2012-06-04T00:00:00,,Utilisateur,4,49,24
52,Paula,López,1982-01-08T00:00:00,plopez@example.es,2014-11-15T00:00:00,,Utilisateur,4,49,24
53,Pablo,Martínez,1984-05-15T00:00:00,pmartinez@example.es,2004-06-19T00:00:00,,Utilisateur,4,49,24
54,Alejandro,Sánchez,1986-06-19T00:00:00,asanchez@example.es,2004-08-25T00:00:00,,Manager,3,61,25
55,Sofia,Pérez,1987-07-02T00:00:00,sperez@example.es,2004-10-17T00:00:00,,Manager,3,57,26
56,Dolores,Martín,1988-09-05T00:00:00,dmartin@example.es,2015-05-27T00:00:00,,Manager,3,57,21
57,Antonio,Gómez,1989-10-13T00:00:00,agomez@example.es,2015-07-22T00:00:00,,Administrateur UK / ES,22,57,20
58,Francisco,Ruiz,1980-11-20T00:00:00,fruiz@example.es,2012-04-06T00:00:00,,Manager,3,48,22
59,Magdalena,Serrano,1981-12-22T00:00:00,mserrano@example.es,2012-10-16T00:00:00,,Utilisateur,4,56,21
60,Juan,Delgado,1979-07-23T00:00:00,jdelgado@example.es,2012-09-01T00:00:00,,Manager,3,48,28
61,Ramon,Iglesias,1983-06-27T00:00:00,riglesias@example.es,2018-12-03T00:00:00,,Manager,3,57,23
62,Isabel,Cruz,1985-10-29T00:00:00,icruz@example.es,2009-01-10T00:00:00,,Utilisateur,4,54,25
63,Catalina,Dominiguez,1984-03-01T00:00:00,cdominiguez@example.es,2009-03-04T00:00:00,,Utilisateur,4,55,26
64,Renata,Hernandez,1986-05-03T00:00:00,rhernandez@example.es,2015-03-13T00:00:00,,Utilisateur,4,51,27
65,Antonella,Ramirez,1982-06-07T00:00:00,aramirez@example.es,2015-02-20T00:00:00,,Utilisateur,4,56,21
66,Gabriela,Suarez,1988-07-13T00:00:00,gsuarez@example.es,2016-04-28T00:00:00,,Utilisateur,4,48,20
67,Victoria,Velazquez,1987-08-14T00:00:00,vvelazquez@example.es,2016-09-11T00:00:00,,Utilisateur,4,58,22
68,Joaquín,Velez,1989-09-16T00:00:00,jvelez@example.es,2016-10-14T00:00:00,,Utilisateur,4,60,28
70,Sara,Barbero,1976-03-20T00:00:00,sbarbero@example.es,2005-05-05T00:00:00,,Utilisateur,4,61,23
71,Lucia,Cabrero,1975-05-21T00:00:00,lcabrero@example.es,2005-02-07T00:00:00,,Utilisateur,4,54,25
73,Lucas,Cavallero,1977-03-26T00:00:00,lcavallero@example.es,2006-03-18T00:00:00,,Utilisateur,4,51,27
74,Hugo,Corredor,1977-11-30T00:00:00,hcorredor@example.es,2006-09-24T00:00:00,,Utilisateur,4,78,25
75,Martín,Hidalgo,1979-02-01T00:00:00,mhidalgo@example.es,2007-01-25T00:00:00,,Utilisateur,4,55,26
76,Daniel,Marin,1978-10-31T00:00:00,dmarin@example.es,2007-03-26T00:00:00,,Utilisateur,4,61,23
77,Camilla,Herrera,1981-09-25T00:00:00,cherrera@example.es,2008-10-29T00:00:00,,Utilisateur,4,78,25
78,Valentina,Marques,1982-04-09T00:00:00,vmarques@example.es,2008-04-30T00:00:00,,Manager,3,61,25
79,Valeria,Molinero,1984-10-10T00:00:00,vmolinero@example.es,2010-05-03T00:00:00,,Manager,3,57,26
80,Mariana,Romero,1971-03-12T00:00:00,mromero@example.es,2011-09-12T00:00:00,,Utilisateur,4,79,26
81,Santiago,Torrero,1970-05-17T00:00:00,storrero@example.es,2013-09-15T00:00:00,,Manager,3,48,20
82,Sebastián,Zapatero,1972-06-15T00:00:00,szapatero@example.es,2013-01-21T00:00:00,,Utilisateur,4,83,24
83,Matías,Cano,1974-08-22T00:00:00,mcano@example.es,2014-04-10T00:00:00,,Manager,3,48,24
84,Mateo,Cortes,1973-12-08T00:00:00,mcortes@example.es,2016-11-02T00:00:00,,Utilisateur,4,83,24
85,Nicolás,Delgado,1971-12-16T00:00:00,ndelgado@example.es,2016-09-05T00:00:00,,Utilisateur,4,58,22
87,Samuel,Orejon,1985-07-25T00:00:00,sorejon@example.es,2016-03-18T00:00:00,,Utilisateur,4,55,26
88,Juan,Bianco,,test@example.es,2023-09-20T00:00:00,,Utilisateur,4,54,27
89,Julie,Bateau,,jbateau@example.org,2023-10-02T00:00:00,2050-03-31T00:00:00,Utilisateur,4,35,11
90,Hélène,Girard,,hgirard@example.org,2022-01-17T00:00:00,,Utilisateur,4,15,8
91,Nicolas,Fromiau,,nfromiau@example.org,2022-04-01T00:00:00,,Utilisateur,4,76,17
92,Lilly,Evans,1987-04-05T00:00:00,levans@lucca.fr,2022-07-01T00:00:00,,Utilisateur,4,11,18
93,Maria,García,,mgarcia@lucca.fr,2022-11-01T00:00:00,,Utilisateur,4,50,19
94,Jean,Aiglemont,1975-10-08T00:00:00,jaiglemont@example.org,2006-03-09T00:00:00,,Utilisateur CH,62,100,30
95,Denis,Arthez,1977-07-25T00:00:00,darthez@example.org,2011-01-01T00:00:00,,Utilisateur CH,62,100,33
96,Natalie,Augsberger,1975-05-21T00:00:00,naugsberger@example.org,2005-02-07T00:00:00,,Manager CH,61,109,30
97,Milo,Baasch,1978-10-31T00:00:00,mbaasch@example.org,2007-03-26T00:00:00,,Utilisateur CH,62,96,31
98,Antoine,Barbet,1977-07-19T00:00:00,abarbet@example.org,2001-09-20T00:00:00,,Utilisateur CH,62,100,31
99,Hélène,Barjeton,1984-01-13T00:00:00,hbarjeton@example.org,2022-01-17T00:00:00,,Utilisateur CH,62,100,31
100,Nathalie,Camusot,1977-07-30T00:00:00,ncamusot@example.org,2001-09-23T00:00:00,,Manager CH,61,109,31
101,Mateo,Firmiani,1973-12-08T00:00:00,mcortes@example.org,2016-11-02T00:00:00,,Utilisateur CH,62,96,34
102,Antonin,Cruchot,1977-08-02T00:00:00,acruchot@example.org,2004-10-04T00:00:00,,Utilisateur CH,62,100,34
103,Nicolas,Desmarets,1966-05-27T00:00:00,ndesmarets@example.org,2000-11-06T00:00:00,,Utilisateur CH,62,100,33
104,Isabel,Graf,1985-10-29T00:00:00,igraf@example.org,2009-01-10T00:00:00,,Utilisateur CH,62,96,34
105,Ava,Hartl,1983-03-18T00:00:00,ahartl@example.org,2015-02-23T00:00:00,,Utilisateur CH,62,96,30
106,Tim,Hössler,1974-08-22T00:00:00,thossler@example.org,2014-04-10T00:00:00,,Utilisateur CH,62,96,33
107,Andrej,Krist,1986-06-19T00:00:00,akrist@example.org,2004-08-25T00:00:00,,Utilisateur CH,62,96,34
108,Gabriel,Leistner,1985-02-12T00:00:00,gleistner@example.org,2012-06-04T00:00:00,,Utilisateur CH,62,96,31
109,Nicolas,Merat,1982-04-11T00:00:00,nmerat@example.org,2011-07-01T00:00:00,,Administrateur CH,47,100,30
110,Thomas,Pilc,1972-06-15T00:00:00,tpilc@example.org,2013-01-21T00:00:00,,Utilisateur CH,62,96,33
111,Julie,Poiret,1990-05-28T00:00:00,jpoiret@example.org,2022-03-01T00:00:00,,Utilisateur CH,62,100,33
112,Maurice,Popinot,1963-03-04T00:00:00,mpopinot@example.org,2001-10-04T00:00:00,,Utilisateur CH,62,100,31
113,Michel,Restaud,1977-07-21T00:00:00,mrestaud@example.org,2013-03-02T00:00:00,,Utilisateur CH,62,100,33
114,Sara,Schmucke,1976-03-20T00:00:00,sschmucke@example.org,2005-05-05T00:00:00,,Utilisateur CH,62,96,31
115,Philipp,Schurz,1984-05-15T00:00:00,pschurz@example.org,2004-06-19T00:00:00,,Utilisateur CH,62,96,33
116,Daniel,Tullia,1970-06-06T00:00:00,dtullia@example.org,1999-03-02T00:00:00,,Utilisateur CH,62,100,30
117,Florence,Zambinella,1976-07-11T00:00:00,fzambinella@example.org,2007-06-25T00:00:00,,Utilisateur CH,62,100,34
118,Edouard,Debriche,,edebriche@example.org,2023-06-01T00:00:00,,Utilisateur,4,15,6
119,Eduardo,Debrillo,,ebadgeuse@example.org,2023-06-01T00:00:00,,Utilisateur,4,49,27
